商品CD,商品名,産地,重量kg,カテゴリ(1=野菜/2=果実)
333,スカイベリー G,栃木,3,2
334,イチゴ シショクヨウ,静岡,5.6,2
335,デコポン20タマ,熊本,5,2
336,ベニコダマスイカ5タマ,新潟,8,2
337,アンデスメロンL,熊本,5,2
338,サクランボショウパック,山形,1.2,2
339,キョホウケショウハコナガノ,長野,1,2
340,マンゴーコクサン,宮崎,2,2
341,ビワパック,愛媛,2.4,2
342,サクランボ400Gハコ,山形,0.4,2
343,PLU ピーマン,茨城・福島他,7.5,1
344,コウスイ 3L,佐賀,5,2
345,コウスイ 3L,佐賀,10,2
346,キョホウ2フサパック,山梨,4.2,2
347,モモオオダマケショウ,山梨,1,2
348,クロコダマスイカ4タマ,茨城他,8,2
349,エダマメ モギ,群馬,6,1
350,ハチヤアンポカキ,福島,1.8,2
351,シュガートマト,高知,4,1
352,オオバ5タハイレ,愛知,0.75,1
353,ブリックス9トマト,群馬,4,1
354,シンゴボウ パック,宮崎,4,1
355,シンディスイート,愛知,2.5,1
356,ナスノコウゲンアスパラ,栃木,3,1
357,ニラ,北海道・山形,5,1
358,アオネギ,静岡,3,1
359,ナス 5ホンパック,群馬,8,1
360,ニイガタルビームーン,新潟,8,2
361,ピーマン,宮崎,7.8,1
362,スナップエンドウ ゲンリョウ,愛知・鹿児島,2,1
363,コウスイナシ20タマ,茨城・福島他,10,2
364,マアナミカン ヒナノサト ハコ,熊本,5,2
365,モモ コバコ,山梨,1,2
366,キョホウ ケショウバコ,山梨,0.5,2
367,オオバ オオフクロ,愛知,1,1
368,シロナス,群馬,9,1
369,アリダミカン M5KGハコ,和歌山,5,2
370,ナンパクネギ,栃木,3,1
371,ミニトマトシシリアンルージュ,千葉,4.5,1
372,レタス,栃木,10,1
373,トマトサンチパック,栃木,4,1
374,グリーンリーフ,宮城,4,1
375,サニーレタス,宮城,4,1
376,ニクマキレタス,宮城,4,1
377,サクランボ Mドームパック,山形,2,2
378,コウスイ 2コパック,佐賀,5,2
379,トマトパック,栃木,4,1
380,フラガールトマト,福島,2,1
381,モモ 1ハコ,福島,1,2
382,アンポガキ パック,福島,1.8,2
383,シロナス,高知,4,1
384,ハルカエイト,北海道,3.2,1
385,サクランボ ショウパック,山形,1.2,2
386,ヒメセルリー,山形,5,1
387,ミディトマト,福島,5,1
388,ナス 5ホンパック,栃木,8,1
389,チヂミホウレンソウ,群馬,5,1
390,ブリックスナイントマトハコ,群馬,1,1
391,エダマメ ミネラル,群馬,5,1
392,ハタマネギ,静岡,3,1
393,シシトウ,千葉,3.9,1
394,アンポガキ パック,山梨,1.4,2
395,コロガキ パック,長野,1,2
396,プラム タイヨウ パック,山梨,5.4,2
397,キョホウ ケショウバコ,山梨,1,2
398,シャインマスカット パックナガノ,長野,5,2
399,ナガノパープル パック,長野,3.5,2
400,キョホウ ケショウバコ ナガノ,長野,0.5,2
401,キョホウ パック タネナシ,長野,2.5,2
402,イチダガキ パック,長野,5,2
403,ジロウガキ スタンドパック,愛知,6,2
404,ミニトマトビ,愛知,2.1,1
405,クレアパック,愛知,3.4,1
406,アイコトマトハコ,愛知,1,1
407,トマトビ,愛知,3.6,1
408,オオサマノミニトマト,愛知,3.6,1
409,イチジク,愛知,1.4,2
410,アイコパック,愛知,3.6,1
411,シンディスイート,福島他,5,1
412,イエローキングメロン,愛知,5,2
413,ミディトマト コシノルビー,福井,2.4,1
414,オクラ,香川,3,1
415,サヌキヒメ 3L,香川,3,2
416,ビワ パック,愛媛,2.4,2
417,ハウスミカン パック,佐賀,7,2
418,チェリートマト,宮崎,3,1
419,マンゴー JP,宮崎,5,2
420,オンシツキンカン,宮崎,4,1
421,イチダガキ,長野,5,2
422,ミツホシスイートバナナ,フィリピン,13,2
423,シシトウ,高知,1.5,1
424,ミョウガ2コパック,高知,1.4,1
425,ミョウガノクキ,高知,9,1
426,モッタイナス,高知,10,1
427,カリーノケール,茨城,1.3,1
428,ハッサク Lパック,和歌山,15,2
429,ホシイモ タマユタカ100G,茨城,2,2
430,ホシイモ ベニハルカ 250G,茨城,2.3,2
431,ホシイモ ベニハルカ100G,茨城,2,2
432,ワケアリホシイモ,茨城,2.3,2
